image_id,predicted_class
1000016480768558.png,Positive
1000094138882661.png,Negative
100010347143101.png,Negative
1000228345963509.png,Positive
10002760868742.png,Positive
1000324142734685.png,Negative
1000502603639355.png,Negative
1000680161643094.png,Negative
1000777041608516.png,Negative
1001169259026054.png,Negative
1001331309398662.png,Negative
1001470542104712.png,Negative
1001567159154475.png,Positive
1001765803830121.png,Positive
1001813990290808.png,Negative
1002176622750587.png,Negative
100218589112962.png,Negative
1002293629509383.png,Negative
1002456236828977.png,Positive
1002737927571484.png,Negative
1003000195528864.png,Negative
1003011347500746.png,Negative
1003068185138241.png,Positive
1003443492244003.png,Negative
1003557972398882.png,Positive
1003811750112429.png,Positive
1003911505089218.png,Positive
100414884507915.png,Negative
1004539611112233.png,Negative
1005105141165163.png,Negative
1005142076728330.png,Negative
1005173926339201.png,Negative
1005196592117911.png,Positive
1005705916066314.png,Negative
1006034448838016.png,Positive
1006609203421792.png,Positive
1006709712994735.png,Positive
100674892849406.png,Positive
1006901559474100.png,Positive
1007307227790931.png,Negative
1007354566939277.png,Negative
1007798281840707.png,Positive
1007996080564288.png,Positive
1008107111227372.png,Positive
1008171258427007.png,Positive
1008383552085473.png,Negative
1008633147610234.png,Negative
100863428045540.png,Negative
1009015077842413.png,Negative
1009610229194911.png,Positive
1010071041146214.png,Positive
1010265168683783.png,Negative
101029680875421.png,Positive
1010416533651186.png,Negative
1010444971639026.png,Positive
1010608023623157.png,Negative
1010952036496784.png,Negative
1011053417335275.png,Positive
1011284834865130.png,Negative
1011331136123914.png,Positive
1011399361649611.png,Positive
1011419378665852.png,Positive
1011428298993606.png,Negative
1011688648681388.png,Negative
1012381049317659.png,Negative
1012531295068342.png,Negative
101274825930907.png,Negative
101276404218600.png,Negative
1013188281911819.png,Positive
1013256833374209.png,Negative
1013263950320460.png,Negative
1013501744715983.png,Negative
1013558286535260.png,Negative
1014057488685352.png,Negative
1014609854583248.png,Negative
1014890221518151.png,Negative
1014920341911477.png,Negative
1015168216349652.png,Negative
101520420806697.png,Positive
10158635641126.png,Negative
1016464831033549.png,Negative
1017439149430722.png,Positive
1017649978290118.png,Positive
1017713224157120.png,Negative
1018177031372768.png,Positive
1018208859561553.png,Negative
1018211268948463.png,Positive
1018267848438937.png,Positive
1018417649272125.png,Positive
1018643807075586.png,Positive
1018897850390162.png,Negative
1019222911131406.png,Negative
1019281602491433.png,Positive
10197186744847.png,Positive
101982690651512.png,Negative
1019959579471546.png,Positive
1020124024937551.png,Positive
102014516397056.png,Negative
1020195560902437.png,Positive
1020275567842999.png,Negative
102028860534776.png,Negative
102038955468366.png,Negative
1020533210384539.png,Negative
1020998957810039.png,Positive
1021094860614972.png,Negative
1021329549658931.png,Negative
1021571855714350.png,Positive
102171404669264.png,Negative
1021854711801914.png,Positive
1021968617099661.png,Positive
1022039397195566.png,Negative
1022257256400904.png,Positive
1022610230832438.png,Positive
1023125852861876.png,Negative
1023362891451001.png,Positive
1023466084561659.png,Positive
1023560350375381.png,Positive
1023592435857211.png,Positive
1023647856545897.png,Negative
1023655718591112.png,Positive
1023958922328362.png,Negative
1024263230885973.png,Positive
1024327103317106.png,Negative
102447742495053.png,Negative
1024583030573305.png,Negative
1024659615175773.png,Negative
1025179365642125.png,Negative
1025186357632395.png,Negative
1025494931425768.png,Positive
1025827436336773.png,Positive
1026137221387728.png,Negative
1026167598771743.png,Positive
1026273887274405.png,Negative
1026664970532308.png,Negative
1026907431258282.png,Negative
1027106748947721.png,Negative
1027128200043424.png,Negative
1027134275487031.png,Positive
1027399837212409.png,Positive
102761317000232.png,Positive
1027950992078439.png,Positive
1028040261452230.png,Positive
1028241648956402.png,Positive
102831403162638.png,Positive
1028943467124482.png,Positive
1029388840526031.png,Positive
102971489305831.png,Positive
1029716557454810.png,Negative
1030100800539944.png,Negative
1030333524161230.png,Positive
1030348180429542.png,Negative
1030709953530364.png,Negative
1030837378517056.png,Positive
103158479541262.png,Positive
103158517981868.png,Negative
1031768975383425.png,Negative
1031927136746115.png,Positive
1032020983595745.png,Negative
1032157599493068.png,Positive
1032341182468437.png,Negative
1032519539571725.png,Negative
1032664115415218.png,Positive
1032828001554600.png,Positive
1033318792074808.png,Negative
1033400313856555.png,Positive
1033896186005826.png,Negative
1034671279580357.png,Positive
103498708397755.png,Negative
1035133436220962.png,Negative
1035264215402492.png,Positive
1035348334490077.png,Negative
1035383035826779.png,Positive
103542730492901.png,Positive
1035644495365359.png,Positive
1035813174619660.png,Negative
1035856092364324.png,Negative
1035928048692787.png,Negative
1036148738569786.png,Positive
1036317230021484.png,Negative
1036545699095162.png,Negative
1036555842968707.png,Positive
1036689164188281.png,Positive
1037061527870524.png,Negative
1037350809924707.png,Positive
1037380274001592.png,Positive
1038428321939909.png,Negative
1038664936606642.png,Negative
1038758231327974.png,Positive
1038995458033124.png,Positive
1039065790962364.png,Negative
1039218637877571.png,Negative
1039630573317746.png,Negative
1040108699715274.png,Positive
1040230402106640.png,Negative
1040519910097289.png,Positive
1040592974533970.png,Negative
1040636658278872.png,Negative
1041212434944039.png,Positive
1041238485119814.png,Negative
1041372440030160.png,Positive
1041536974078854.png,Negative
104168827050522.png,Negative
1041812205652721.png,Positive
1041975818842341.png,Negative
1042026327466404.png,Positive
1042386933467721.png,Positive
1042953891843063.png,Positive
1043300070394572.png,Negative
1043491441778757.png,Negative
1043906079126198.png,Positive
1044077006021775.png,Positive
1044302097228442.png,Positive
1044676543049795.png,Positive
104480076006649.png,Positive
1044891993241232.png,Positive
1044941830435951.png,Positive
1045607512272668.png,Positive
1045743690159289.png,Positive
104582394889.png,Negative
1045909960548301.png,Positive
1046077855143703.png,Negative
1046090859735975.png,Negative
1046182726363256.png,Negative
1046328362509580.png,Positive
1046538661739815.png,Positive
1047077961636648.png,Negative
1047086207938129.png,Negative
1047197278588377.png,Positive
1047548499940284.png,Positive
1047571272492181.png,Positive
104810661713829.png,Negative
1048132999459635.png,Positive
1048507976116950.png,Negative
1048654569933823.png,Negative
1048736028578849.png,Negative
1049041503665068.png,Negative
1049231865011727.png,Positive
1049597079801797.png,Positive
1050399642530923.png,Negative
1050681088732172.png,Negative
1050909821437927.png,Positive
1051209052729324.png,Negative
1051327397665671.png,Positive
1051399675464375.png,Negative
1051752670831591.png,Positive
1051828691060490.png,Negative
1051846767929742.png,Negative
1052527262173833.png,Negative
1052550739243061.png,Negative
1052557565630790.png,Negative
1052766641287639.png,Positive
1052920341788036.png,Negative
1052923545115399.png,Positive
1052960470589596.png,Negative
1053277720303521.png,Negative
1053289445070826.png,Negative
1053291438390620.png,Positive
1053497394056885.png,Negative
1053698105121847.png,Negative
1053856741680723.png,Negative
1054353983887563.png,Positive
1054594103919953.png,Positive
1054649073160784.png,Negative
1054796368613822.png,Negative
1055112887645382.png,Positive
1055197627037713.png,Negative
1055268219283261.png,Negative
1055482834727188.png,Positive
1055992063867228.png,Positive
1056195516858969.png,Negative
1056298833807871.png,Positive
1056441428363583.png,Negative
1056570402688093.png,Negative
1056985265517321.png,Negative
105813482581640.png,Negative
1058892371111688.png,Positive
1059277125647286.png,Positive
1059411916728.png,Negative
1059568926407906.png,Positive
1059833863003434.png,Negative
1060165037331902.png,Negative
1060260782650306.png,Positive
1060484267335324.png,Positive
1060503194375872.png,Positive
1061275632259134.png,Positive
1061370277472854.png,Negative
1061437607982661.png,Positive
1061935240532672.png,Negative
1061969695431218.png,Positive
1062196994315805.png,Negative
1063379563463447.png,Positive
1063399957524625.png,Positive
1063861310193747.png,Negative
1064109411475531.png,Positive
1064149525210081.png,Positive
1064608314515328.png,Positive
1064634118482028.png,Positive
1064902229280961.png,Positive
1065184229781287.png,Positive
106523340099686.png,Positive
1065461651121300.png,Negative
1065465122985906.png,Positive
1065913239641707.png,Positive
106591474889621.png,Positive
1066111608548637.png,Positive
1066202590066780.png,Positive
1066313615702408.png,Negative
1066534517130610.png,Positive
1066715442843831.png,Positive
1066782995066367.png,Negative
106690868540626.png,Negative
1067264337993994.png,Negative
1067290557729517.png,Negative
1067596016288634.png,Positive
1067954568346239.png,Negative
106822971686113.png,Positive
1068806808981436.png,Negative
1068874355295874.png,Negative
1068940534091348.png,Positive
1068993034455883.png,Negative
106910708285967.png,Positive
1069289846251368.png,Negative
106930729798879.png,Positive
1069416561175132.png,Positive
1069416710291721.png,Negative
1069685134980629.png,Negative
1070111036361215.png,Positive
1070335052159040.png,Positive
1070474861855111.png,Positive
1070477812714352.png,Negative
1070680772600281.png,Positive
1071533701275056.png,Positive
1071734721089401.png,Negative
1072234884439319.png,Positive
1072255612335720.png,Negative
1072269224300054.png,Positive
1072269477391273.png,Positive
1072287135953686.png,Negative
1072381738215450.png,Positive
1072764996265007.png,Negative
1072988309413747.png,Positive
1073054770258176.png,Positive
10730978076665.png,Positive
1073104980938726.png,Negative
1073124943650678.png,Positive
1073369413480898.png,Negative
1073700646652462.png,Negative
1074066691460415.png,Positive
1074345161480729.png,Negative
1074376653400163.png,Positive
1074488223002640.png,Positive
1074491636479158.png,Positive
1074980316461929.png,Negative
1075506803336152.png,Negative
1075760134393904.png,Positive
1076242585963798.png,Positive
1076479021000911.png,Negative
1076537412516687.png,Positive
1076612494712227.png,Negative
1076735520026534.png,Negative
107689189101997.png,Positive
107704135911555.png,Positive
1077444406412634.png,Negative
1077671563571552.png,Positive
1077862083242896.png,Negative
1078182797026066.png,Positive
1078228568190085.png,Negative
1079238673540961.png,Positive
1079276129158317.png,Positive
1079496999597482.png,Positive
1079563732439038.png,Positive
1079748838588067.png,Positive
1079790626171562.png,Positive
1079842698516911.png,Positive
1080133622136218.png,Negative
1080225408948082.png,Negative
1080275362997805.png,Positive
1080393064604412.png,Positive
1080463074981266.png,Negative
1080499747801655.png,Positive
1080812882002597.png,Negative
1081221807098830.png,Positive
1081879290237746.png,Positive
1082525873902690.png,Positive
1083189368658286.png,Positive
1083412831115256.png,Negative
1083449323508571.png,Positive
1083825970056913.png,Negative
1083966053155370.png,Positive
1084271542196484.png,Negative
1084957310725239.png,Positive
108528659421299.png,Positive
1085546279658217.png,Positive
1085902851711498.png,Negative
1086279553073457.png,Positive
1086762761943075.png,Positive
1087461338916381.png,Positive
1088000875345663.png,Positive
1088002096284674.png,Positive
1088163444463059.png,Negative
1088603716214245.png,Negative
1088670510904738.png,Negative
1088730498845879.png,Negative
1088780561069356.png,Negative
1089241401623863.png,Positive
1089358548358663.png,Positive
1089488003119062.png,Positive
1089524681335179.png,Negative
1090580540512578.png,Negative
1090658531217766.png,Negative
1090675233455331.png,Positive
1090678317624935.png,Negative
1090810316431048.png,Positive
1090855584095139.png,Negative
1090913214184561.png,Negative
1091105977693768.png,Negative
1091313343487573.png,Positive
1091569409555889.png,Negative
1091839137529634.png,Negative
1092046862606861.png,Negative
1092391454588661.png,Negative
1092398343096409.png,Positive
1092708606263075.png,Positive
1092763628094265.png,Negative
1092973738236116.png,Negative
1093751133340673.png,Positive
1093890739218351.png,Positive
1094441451251434.png,Positive
1094536447583174.png,Negative
1094757521225988.png,Negative
109481984180883.png,Positive
1095011468510846.png,Positive
1095345286815478.png,Negative
1095624797058442.png,Positive
1095682547485006.png,Positive
1095839023256631.png,Positive
1095938000061428.png,Positive
1095940049949634.png,Positive
1096064670931798.png,Negative
1096686683976904.png,Negative
1096920323329517.png,Positive
1097186296601303.png,Positive
