,image_id ,predicted_class
0,1000016480768558,Positive
1,1000094138882661,Negative
2,100010347143101,Negative
3,1000228345963509,Positive
4,10002760868742,Positive
5,1000324142734685,Negative
6,1000502603639355,Negative
7,1000680161643094,Negative
8,1000777041608516,Negative
9,1001169259026054,Negative
10,1001331309398662,Negative
11,1001470542104712,Negative
12,1001567159154475,Positive
13,1001765803830121,Positive
14,1001813990290808,Negative
15,1002176622750587,Negative
16,100218589112962,Negative
17,1002293629509383,Negative
18,1002456236828977,Positive
19,1002737927571484,Negative
20,1003000195528864,Negative
21,1003011347500746,Negative
22,1003068185138241,Positive
23,1003443492244003,Negative
24,1003557972398882,Positive
25,1003811750112429,Positive
26,1003911505089218,Positive
27,100414884507915,Negative
28,1004539611112233,Negative
29,1005105141165163,Negative
30,1005142076728330,Negative
31,1005173926339201,Negative
32,1005196592117911,Positive
33,1005705916066314,Negative
34,1006034448838016,Positive
35,1006609203421792,Positive
36,1006709712994735,Positive
37,100674892849406,Positive
38,1006901559474100,Positive
39,1007307227790931,Negative
40,1007354566939277,Negative
41,1007798281840707,Positive
42,1007996080564288,Positive
43,1008107111227372,Positive
44,1008171258427007,Positive
45,1008383552085473,Negative
46,1008633147610234,Negative
47,100863428045540,Negative
48,1009015077842413,Negative
49,1009610229194911,Positive
50,1010071041146214,Positive
51,1010265168683783,Negative
52,101029680875421,Positive
53,1010416533651186,Negative
54,1010444971639026,Positive
55,1010608023623157,Negative
56,1010952036496784,Negative
57,1011053417335275,Positive
58,1011284834865130,Negative
59,1011331136123914,Positive
60,1011399361649611,Positive
61,1011419378665852,Positive
62,1011428298993606,Negative
63,1011688648681388,Negative
64,1012381049317659,Negative
65,1012531295068342,Negative
66,101274825930907,Negative
67,101276404218600,Negative
68,1013188281911819,Positive
69,1013256833374209,Negative
70,1013263950320460,Negative
71,1013501744715983,Negative
72,1013558286535260,Negative
73,1014057488685352,Negative
74,1014609854583248,Negative
75,1014890221518151,Negative
76,1014920341911477,Negative
77,1015168216349652,Negative
78,101520420806697,Positive
79,10158635641126,Negative
80,1016464831033549,Negative
81,1017439149430722,Positive
82,1017649978290118,Positive
83,1017713224157120,Negative
84,1018177031372768,Positive
85,1018208859561553,Negative
86,1018211268948463,Positive
87,1018267848438937,Positive
88,1018417649272125,Positive
89,1018643807075586,Positive
90,1018897850390162,Negative
91,1019222911131406,Negative
92,1019281602491433,Positive
93,10197186744847,Positive
94,101982690651512,Negative
95,1019959579471546,Positive
96,1020124024937551,Positive
97,102014516397056,Negative
98,1020195560902437,Positive
99,1020275567842999,Negative
100,102028860534776,Negative
101,102038955468366,Negative
102,1020533210384539,Negative
103,1020998957810039,Positive
104,1021094860614972,Negative
105,1021329549658931,Negative
106,1021571855714350,Positive
107,102171404669264,Negative
108,1021854711801914,Positive
109,1021968617099661,Positive
110,1022039397195566,Negative
111,1022257256400904,Positive
112,1022610230832438,Positive
113,1023125852861876,Negative
114,1023362891451001,Positive
115,1023466084561659,Positive
116,1023560350375381,Positive
117,1023592435857211,Positive
118,1023647856545897,Negative
119,1023655718591112,Positive
120,1023958922328362,Negative
121,1024263230885973,Positive
122,1024327103317106,Negative
123,102447742495053,Negative
124,1024583030573305,Negative
125,1024659615175773,Negative
126,1025179365642125,Negative
127,1025186357632395,Negative
128,1025494931425768,Positive
129,1025827436336773,Positive
130,1026137221387728,Negative
131,1026167598771743,Positive
132,1026273887274405,Negative
133,1026664970532308,Negative
134,1026907431258282,Negative
135,1027106748947721,Negative
136,1027128200043424,Negative
137,1027134275487031,Positive
138,1027399837212409,Positive
139,102761317000232,Positive
140,1027950992078439,Positive
141,1028040261452230,Positive
142,1028241648956402,Positive
143,102831403162638,Positive
144,1028943467124482,Positive
145,1029388840526031,Positive
146,102971489305831,Positive
147,1029716557454810,Negative
148,1030100800539944,Negative
149,1030333524161230,Positive
150,1030348180429542,Negative
151,1030709953530364,Negative
152,1030837378517056,Positive
153,103158479541262,Positive
154,103158517981868,Negative
155,1031768975383425,Negative
156,1031927136746115,Positive
157,1032020983595745,Negative
158,1032157599493068,Positive
159,1032341182468437,Negative
160,1032519539571725,Negative
161,1032664115415218,Positive
162,1032828001554600,Positive
163,1033318792074808,Negative
164,1033400313856555,Positive
165,1033896186005826,Negative
166,1034671279580357,Positive
167,103498708397755,Negative
168,1035133436220962,Negative
169,1035264215402492,Positive
170,1035348334490077,Negative
171,1035383035826779,Positive
172,103542730492901,Positive
173,1035644495365359,Positive
174,1035813174619660,Negative
175,1035856092364324,Negative
176,1035928048692787,Negative
177,1036148738569786,Positive
178,1036317230021484,Negative
179,1036545699095162,Negative
180,1036555842968707,Positive
181,1036689164188281,Positive
182,1037061527870524,Negative
183,1037350809924707,Positive
184,1037380274001592,Positive
185,1038428321939909,Negative
186,1038664936606642,Negative
187,1038758231327974,Positive
188,1038995458033124,Positive
189,1039065790962364,Negative
190,1039218637877571,Negative
191,1039630573317746,Negative
192,1040108699715274,Positive
193,1040230402106640,Negative
194,1040519910097289,Positive
195,1040592974533970,Negative
196,1040636658278872,Negative
197,1041212434944039,Positive
198,1041238485119814,Negative
199,1041372440030160,Positive
200,1041536974078854,Negative
201,104168827050522,Negative
202,1041812205652721,Positive
203,1041975818842341,Negative
204,1042026327466404,Positive
205,1042386933467721,Positive
206,1042953891843063,Positive
207,1043300070394572,Negative
208,1043491441778757,Negative
209,1043906079126198,Positive
210,1044077006021775,Positive
211,1044302097228442,Positive
212,1044676543049795,Positive
213,104480076006649,Positive
214,1044891993241232,Positive
215,1044941830435951,Positive
216,1045607512272668,Positive
217,1045743690159289,Positive
218,104582394889,Negative
219,1045909960548301,Positive
220,1046077855143703,Negative
221,1046090859735975,Negative
222,1046182726363256,Negative
223,1046328362509580,Positive
224,1046538661739815,Positive
225,1047077961636648,Negative
226,1047086207938129,Negative
227,1047197278588377,Positive
228,1047548499940284,Positive
229,1047571272492181,Positive
230,104810661713829,Negative
231,1048132999459635,Negative
232,1048507976116950,Negative
233,1048654569933823,Negative
234,1048736028578849,Negative
235,1049041503665068,Negative
236,1049231865011727,Positive
237,1049597079801797,Positive
238,1050399642530923,Negative
239,1050681088732172,Negative
240,1050909821437927,Positive
241,1051209052729324,Negative
242,1051327397665671,Positive
243,1051399675464375,Negative
244,1051752670831591,Positive
245,1051828691060490,Negative
246,1051846767929742,Negative
247,1052527262173833,Negative
248,1052550739243061,Negative
249,1052557565630790,Negative
250,1052766641287639,Positive
251,1052920341788036,Negative
252,1052923545115399,Positive
253,1052960470589596,Negative
254,1053277720303521,Negative
255,1053289445070826,Negative
256,1053291438390620,Positive
257,1053497394056885,Negative
258,1053698105121847,Negative
259,1053856741680723,Negative
260,1054353983887563,Positive
261,1054594103919953,Positive
262,1054649073160784,Negative
263,1054796368613822,Negative
264,1055112887645382,Positive
265,1055197627037713,Negative
266,1055268219283261,Negative
267,1055482834727188,Positive
268,1055992063867228,Positive
269,1056195516858969,Negative
270,1056298833807871,Positive
271,1056441428363583,Negative
272,1056570402688093,Negative
273,1056985265517321,Negative
274,105813482581640,Negative
275,1058892371111688,Positive
276,1059277125647286,Positive
277,1059411916728,Negative
278,1059568926407906,Positive
279,1059833863003434,Negative
280,1060165037331902,Negative
281,1060260782650306,Positive
282,1060484267335324,Positive
283,1060503194375872,Positive
284,1061275632259134,Positive
285,1061370277472854,Negative
286,1061437607982661,Positive
287,1061935240532672,Negative
288,1061969695431218,Positive
289,1062196994315805,Negative
290,1063379563463447,Positive
291,1063399957524625,Positive
292,1063861310193747,Negative
293,1064109411475531,Positive
294,1064149525210081,Positive
